state_name,population_group_code,offense_code,victim_type_code,location_code,prop_desc_code,stolen_value,recovered_value,recovery_rate,PC 1,PC 2,PC 3,Class
Alabama,2,23F,I,20,77,484.0,484,1.0,-0.6773328567989638,0.7541171926597288,-0.24196286680388152,2
Alabama,2,23F,I,20,26,100.0,100,1.0,-0.8104066189312468,1.0532363355453516,-0.5856838728759628,2
Alabama,2,23F,I,20,6,33605.0,5,0.00014878738282993602,-0.676496683030898,1.3190360931948368,-0.7052558131008454,2
Alabama,2,240,I,18,3,3000.0,3000,1.0,-0.3810809023941329,1.2650302942200558,-1.9663784048994257,2
Alabama,2,23H,B,7,16,26.0,26,1.0,1.0573590844975536,-1.4507754202197962,-0.2395860072303905,0
Alabama,2,240,I,3,3,4000.0,4000,1.0,-0.30082763141156427,1.2352561387564716,-1.9673925289071388,2
Alabama,2,240,I,14,3,2500.0,2500,1.0,-0.3691639053237818,1.2509756707222284,-1.9680206733626058,2
Alabama,2,23H,I,20,68,34195.0,5389,0.15759613978651849,-0.06339454193317166,0.29281603994436506,-0.1113158927457986,2
Ohio,9B,23F,I,25,16,1.0,1,1.0,-1.3476717850133446,1.4306415836295943,-0.03057130844882652,2
Alabama,2,240,I,20,37,4500.0,4500,1.0,-0.28602750915059044,1.0805728783260375,-1.7346313188750266,2
