,data_year,pub_agency_name,agency_type_name,state_name,division_name,county_name,region_name,population_group_desc,offense_name,offender_race,offender_ethnicity,offender_age,offender_sex,victim_type_name,location_name,weapon_name,prop_desc_name,stolen_value,recovered_value,date_recovered
45724,2020,Greensboro,City,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Robbery,White,Not Hispanic or Latino,20.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Handgun,Automobile,3000.0,3000,2020-09-16
45725,2020,Greensboro,City,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Robbery,White,Unknown,33.0,M,Individual,Highway/Road/Alley/Street/Sidewalk,Handgun,Automobile,3000.0,3000,2020-09-16
45743,2020,Charlotte-Mecklenburg,City,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Business,Industrial Site,Unknown,Automobile,10000.0,10000,2020-04-20
45745,2020,Charlotte-Mecklenburg,City,North Carolina,South Atlantic,MECKLENBURG,South,"Cities from 500,000 thru 999,999",Theft From Motor Vehicle,Unknown,Unknown,0.0,U,Business,Industrial Site,Unknown,Automobile,10000.0,10000,2020-04-20
45747,2020,Revere,City,Massachusetts,New England,SUFFOLK,Northeast,"Cities from 50,000 thru 99,999",All Other Larceny,White,Not Hispanic or Latino,38.0,M,Business,Drug Store/Doctor's Office/Hospital,Unknown,Watercraft Equipment/ Parts/ Accessories,1.0,1,2020-04-20
45755,2020,Columbus,City,Ohio,East North Central,"DELAWARE, FAIRFIELD, FRANKLIN",Midwest,"Cities from 500,000 thru 999,999",All Other Larceny,White,Not Specified,42.0,M,Individual,Grocery/Supermarket,Unknown,Bicycles,50.0,50,2020-04-08
45791,2020,Mayodan,City,North Carolina,South Atlantic,ROCKINGHAM,South,"Cities under 2,500",All Other Larceny,Unknown,Unknown,0.0,U,Business,Grocery/Supermarket,Unknown,Other,9.0,9,2020-02-07
45808,2020,Houston,City,Texas,West South Central,"FORT BEND, HARRIS, MONTGOMERY",South,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Trucks,30000.0,30000,2020-07-08
45810,2020,Houston,City,Texas,West South Central,"FORT BEND, HARRIS, MONTGOMERY",South,"Cities 1,000,000 or over",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Highway/Road/Alley/Street/Sidewalk,Unknown,Trailers,22000.0,22000,2020-07-15
45825,2020,Thomasville,City,North Carolina,South Atlantic,"DAVIDSON, RANDOLPH",South,"Cities from 25,000 thru 49,999",All Other Larceny,White,Unknown,18.0,F,Individual,Residence/Home,Unknown,Other,1.0,1,2020-06-12
